;OBJECTID_1;LAN_ew_AGS;LAN_ew_GEN;LAN_ew_BEZ;LAN_ew_EWZ;OBJECTID;Fallzahl;Aktualisierung;AGS_TXT;GlobalID;faelle_100000_EW;Shape__Area;Shape__Length;Death;cases7_bl_per_100k;cases7_bl;death7_bl;cases7_bl_per_100k_txt;AdmUnitId
0;1;01;Schleswig-Holstein;Land;2910875;15;799114;1655848800000;01;fc5ba936-c95c-432c-8a33-9eb2f30b660f;27452.7075192167;45737314116.8701;2881496.1295035;2589;778.597500751492;22664;1;778,6;1
1;2;02;Hamburg;Freie und Hansestadt;1852478;6;614049;1655848800000;02;0f3e860c-5181-4d3f-a421-1d51f50315ea;33147.4381881998;2089396054.82129;418800.187474072;2705;490.316214281627;9083;3;490,3;2
2;3;03;Niedersachsen;Land;8003421;9;2529737;1655848800000;03;3fd77024-c29b-4843-9be8-682ad48e60c9;31608.1960451662;129983613598.973;4008988.2951652;9590;742.969787544601;59463;3;743,0;3
3;4;04;Bremen;Freie Hansestadt;680130;5;210568;1655848800000;04;4132268b-54de-4327-ac1e-760e915112f1;30959.9635363828;1119156745.43408;335717.737774516;785;573.27275667887;3899;2;573,3;4
4;5;05;Nordrhein-Westfalen;Land;17925570;10;5559363;1655848800000;05;561d658f-3ee5-46e3-bc95-3528c6558ab9;31013.5911996104;87829361998.0295;2648672.50917441;25622;551.385534741712;98839;8;551,4;5
5;6;06;Hessen;Land;6293154;7;1971155;1655848800000;06;93277ac4-e8fc-48c7-8940-028dc2ed66af;31322.211406236;52359125900.6655;2148243.6201819;10290;612.12549383028;38522;3;612,1;6
6;7;07;Rheinland-Pfalz;Land;4098391;11;1211285;1655848800000;07;e9b4296f-9be2-4e53-9a58-ccf1396cb03d;29555.1351737792;47838767393.1633;1774430.12830596;5728;472.673300326884;19372;4;472,7;7
7;8;08;Baden-Württemberg;Land;11103043;1;3782610;1655848800000;08;80394ddf-c6a4-4a6e-be8e-0259a81b22a9;34068.2279623703;81517323536.8628;2544320.39805124;16248;360.216564053656;39995;4;360,2;8
8;9;09;Bayern;Freistaat;13140183;2;5057999;1655848800000;09;1ff920f4-62cd-4a4f-b8c9-f042f2a3e00a;38492.6069903288;163485540875.077;3898617.90542911;24280;453.220476457596;59554;10;453,2;9
9;10;10;Saarland;Land;983991;12;330412;1655848800000;10;e3396a6f-8a30-4fdf-8df7-def77dd38bea;33578.7624073797;6060691818.01318;562678.876124348;1712;659.965385862269;6494;2;660,0;10
10;11;11;Berlin;Land;3664088;3;1082738;1655848800000;11;c7033073-2bb0-486b-97af-5b3c639e7219;29549.9998908323;2402458320.59863;363979.182407356;4635;357.496872345861;13099;0;357,5;11
11;12;12;Brandenburg;Land;2531071;4;810437;1655848800000;12;b560af89-5895-4be4-96f8-0f581cd8a858;32019.5284920889;79801970800.2686;2571385.42188057;5705;316.980440295827;8023;0;317,0;12
12;13;13;Mecklenburg-Vorpommern;Land;1610774;8;503073;1655848800000;13;a27f5628-e790-45be-898d-f0a6841c0f7e;31231.7556652889;65873523064.0757;4131181.10875485;2251;406.140153739755;6542;1;406,1;13
13;14;14;Sachsen;Freistaat;4056941;13;1539333;1655848800000;14;256d2405-a7c8-4fec-93df-29f3c808cd25;37943.1941455397;46626497892.9951;2048279.98573376;15579;268.009813305148;10873;0;268,0;14
14;15;15;Sachsen-Anhalt;Land;2180684;14;732709;1655848800000;15;66106bbe-f04b-4f92-80e1-5b5b30da25b5;33599.9622136907;54177007537.6553;1920386.52842308;5393;276.427029317407;6028;1;276,4;15
15;16;16;Thüringen;Freistaat;2120237;16;719643;1655848800000;16;3a3e2817-bb19-4f8c-8bca-d8ff591140d4;33941.6301102188;40685205073.9761;2015719.49965031;7350;184.554839859884;3913;2;184,6;16
